Instances;OPT/BKS;;naif;;;naif+HCswap;;
br17;39;;167;1.354e-06;;41;6;6.7424e-05
ft53;6905;;13954;1.791e-06;;9022;25;0.0039591
ft70;38673;;56081;3.603e-06;;43310;34;0.00861113
ftv33;1286;;2239;7.9e-07;;1663;11;0.000575645
ftv35;1473;;2473;8.69e-07;;1923;8;0.00047424
ftv38;1530;;2504;9.14e-07;;1883;13;0.000898805
ftv44;1613;;2678;9.94e-07;;2061;9;0.000833157
ftv47;1776;;4289;1.091e-06;;2638;21;0.0021131
ftv55;1608;;3974;1.004e-06;;2435;20;0.00240349
ftv64;1839;;4783;1.13e-06;;2564;23;0.0039489
ftv70;1950;;4855;1.261e-06;;2650;37;0.00746632
ftv170;2755;;7146;4.119e-06;;4559;40;0.0465502
kro124;36230;;209567;1.616e-06;;65355;85;0.0331887
p43;5620;;6160;7.68e-07;;5678;10;0.000703531
rbg323;1326;;6429;6.622e-06;;1736;221;0.912747
rbg358;1163;;7083;7.118e-06;;1697;240;1.23453
rbg403;2465;;7956;7.612e-06;;2730;239;1.56131
rbg443;2720;;8717;7.723e-06;;3027;284;2.23088
ry48p;14422;;54267;9.12e-07;;20966;45;0.00414525
;;;;;;;;
;;;;;;;;
br17;;;328,21 %;;;5,13 %;;
ft53;;;102,09 %;;;30,66 %;;
ft70;;;45,01 %;;;11,99 %;;
ftv33;;;74,11 %;;;29,32 %;;
ftv35;;;67,89 %;;;30,55 %;;
ftv38;;;63,66 %;;;23,07 %;;
ftv44;;;66,03 %;;;27,77 %;;
ftv47;;;141,50 %;;;48,54 %;;
ftv55;;;147,14 %;;;51,43 %;;
ftv64;;;160,09 %;;;39,42 %;;
ftv70;;;148,97 %;;;35,90 %;;
ftv170;;;159,38 %;;;65,48 %;;
kro124;;;478,43 %;;;80,39 %;;
p43;;;9,61 %;;;1,03 %;;
rbg323;;;384,84 %;;;30,92 %;;
rbg358;;;509,03 %;;;45,92 %;;
rbg403;;;222,76 %;;;10,75 %;;
rbg443;;;220,48 %;;;11,29 %;;
ry48p;;;276,28 %;;;45,38 %;;
